Event ID,Case ID,Activity,Timestamp
event_0_3,case_0,Approve Purchase Order,2023-02-14 13:17:29.134232
event_0_5,case_0,Complete Payment,2023-02-22 05:00:29.340093
event_0_1,case_0,Create Purchase Order,2023-05-28 11:48:30.872327
event_0_0,case_0,Close Purchase Order,2023-06-18 05:59:32.572153
event_0_4,case_0,Receive Goods,2023-07-15 04:48:52.254125
event_0_6,case_0,Evaluate Supplier Performance,2023-08-04 12:58:54.841536
event_0_7,case_0,Renew Contract,2023-10-11 15:01:34.654420
event_0_2,case_0,Select Supplier,2023-10-31 04:24:16.440194
event_1_4,case_1,Receive Goods,2023-01-14 13:49:01.031468
event_1_0,case_1,Close Purchase Order,2023-01-31 05:20:54.119466
event_1_3,case_1,Approve Purchase Order,2023-02-09 14:38:16.421383
event_1_5,case_1,Process Invoice,2023-08-11 00:36:20.478748
event_1_7,case_1,Renew Contract,2023-09-12 08:09:25.517185
event_1_2,case_1,Request Quotations,2023-10-03 02:42:45.997994
event_1_1,case_1,Create Purchase Order,2023-11-08 06:11:58.230335
event_1_6,case_1,Evaluate Supplier Performance,2023-11-20 13:46:15.884523
event_10_3,case_10,Approve Purchase Order,2023-01-27 15:49:09.395682
event_10_6,case_10,Evaluate Supplier Performance,2023-02-14 19:11:36.276803
event_10_4,case_10,Monitor Order Status,2023-03-21 20:07:14.184810
event_10_2,case_10,Negotiate Contract,2023-05-03 05:38:08.879252
event_10_0,case_10,Close Purchase Order,2023-06-01 21:06:04.546630
event_10_1,case_10,Create Purchase Order,2023-06-08 13:46:23.382025
event_10_5,case_10,Process Invoice,2023-08-23 05:05:54.738073
event_10_7,case_10,Renew Contract,2023-11-22 05:03:57.073263
event_100_6,case_100,Finalize Purchase Details,2023-02-08 15:22:30.555809
event_100_5,case_100,Process Invoice,2023-05-04 17:09:47.900228
event_100_4,case_100,Receive Goods,2023-05-10 02:28:54.036386
event_100_0,case_100,Close Purchase Order,2023-05-27 16:05:48.811483
event_100_2,case_100,Select Supplier,2023-07-20 16:02:16.081546
event_100_7,case_100,Renew Contract,2023-10-25 01:27:29.954742
event_100_1,case_100,Create Purchase Order,2023-10-29 02:27:57.223886
event_100_3,case_100,Dispatch Order,2023-11-27 06:18:26.938523
event_101_4,case_101,Monitor Order Status,2023-02-25 12:58:03.586323
event_101_6,case_101,Finalize Purchase Details,2023-03-02 15:16:22.155079
event_101_1,case_101,Create Purchase Order,2023-03-24 20:04:47.773094
event_101_5,case_101,Complete Payment,2023-09-15 05:59:43.062701
event_101_0,case_101,Close Purchase Order,2023-10-03 16:29:42.043618
event_101_7,case_101,Renew Contract,2023-10-08 01:15:23.310075
event_101_3,case_101,Dispatch Order,2023-11-11 04:22:42.657960
event_101_2,case_101,Select Supplier,2023-11-23 13:43:57.496057
event_102_5,case_102,Process Invoice,2023-03-02 21:18:26.572205
event_102_7,case_102,Renew Contract,2023-06-13 23:32:58.788452
event_102_3,case_102,Dispatch Order,2023-07-25 03:11:15.705606
event_102_6,case_102,Finalize Purchase Details,2023-07-27 15:12:32.467470
event_102_0,case_102,Close Purchase Order,2023-08-15 21:57:06.539400
event_102_1,case_102,Create Purchase Order,2023-09-28 20:32:25.620567
event_102_2,case_102,Negotiate Contract,2023-10-02 16:04:10.615622
event_102_4,case_102,Receive Goods,2023-11-08 12:36:02.491278
event_103_6,case_103,Finalize Purchase Details,2023-01-15 23:44:46.721347
event_103_1,case_103,Create Purchase Order,2023-01-30 09:33:35.689404
event_103_3,case_103,Dispatch Order,2023-03-14 22:36:53.009453
event_103_2,case_103,Request Quotations,2023-03-19 06:03:30.062738
event_103_7,case_103,Renew Contract,2023-07-07 20:10:13.624734
event_103_0,case_103,Close Purchase Order,2023-07-31 08:16:48.870091
event_103_4,case_103,Receive Goods,2023-10-19 08:16:13.837781
event_103_5,case_103,Process Invoice,2023-10-25 07:32:13.613580
event_104_1,case_104,Create Purchase Order,2023-01-15 23:23:55.130083
event_104_4,case_104,Receive Goods,2023-01-22 17:49:51.967326
event_104_3,case_104,Approve Purchase Order,2023-01-26 03:12:57.102456
event_104_7,case_104,Conduct Market Analysis,2023-02-17 21:33:31.041548
event_104_5,case_104,Process Invoice,2023-02-23 07:54:37.824617
event_104_2,case_104,Request Quotations,2023-03-12 15:37:08.936339
event_104_0,case_104,Close Purchase Order,2023-09-13 19:42:21.848241
event_104_6,case_104,Finalize Purchase Details,2023-12-05 16:20:42.704644
event_105_3,case_105,Approve Purchase Order,2023-02-01 05:30:04.077281
event_105_6,case_105,Finalize Purchase Details,2023-03-03 16:36:48.793729
event_105_4,case_105,Receive Goods,2023-07-10 08:26:37.981988
event_105_2,case_105,Negotiate Contract,2023-07-15 07:11:24.255354
event_105_7,case_105,Conduct Market Analysis,2023-08-18 20:12:47.580664
event_105_5,case_105,Process Invoice,2023-09-08 16:50:59.254207
event_105_0,case_105,Close Purchase Order,2023-09-10 13:59:06.462906
event_105_2,case_105,Request Quotations,2023-09-18 10:58:08.362480
event_105_1,case_105,Create Purchase Order,2023-10-25 09:10:21.285371
