Event ID,Case ID,Activity,Timestamp
event_0_1,case_0,Create Purchase Order,2023-02-07 19:26:54.405366
event_0_2,case_0,Select Supplier,2023-02-08 04:25:41.336028
event_0_5,case_0,Process Invoice,2023-03-12 11:16:21.983524
event_0_0,case_0,Close Purchase Order,2023-04-27 20:23:48.420506
event_0_6,case_0,Evaluate Supplier Performance,2023-08-01 21:32:29.972127
event_0_3,case_0,Approve Purchase Order,2023-09-03 10:36:00.693372
event_0_4,case_0,Monitor Order Status,2023-09-29 02:24:14.971929
event_0_7,case_0,Conduct Market Analysis,2023-10-16 00:53:03.821049
event_1_4,case_1,Receive Goods,2023-01-04 19:16:00.125955
event_1_3,case_1,Approve Purchase Order,2023-02-03 04:14:05.057939
event_1_3,case_1,Dispatch Order,2023-03-31 02:43:20.186363
event_1_5,case_1,Process Invoice,2023-05-03 18:23:08.955904
event_1_6,case_1,Finalize Purchase Details,2023-05-23 18:14:47.388338
event_1_1,case_1,Create Purchase Order,2023-07-12 06:10:50.066722
event_1_0,case_1,Close Purchase Order,2023-08-18 03:24:24.013822
event_1_7,case_1,Renew Contract,2023-10-23 13:02:32.243323
event_1_2,case_1,Request Quotations,2023-11-25 15:03:30.383286
event_10_5,case_10,Complete Payment,2023-04-07 08:14:56.487580
event_10_7,case_10,Renew Contract,2023-07-31 14:56:51.323768
event_10_1,case_10,Create Purchase Order,2023-08-11 10:50:55.522426
event_10_0,case_10,Close Purchase Order,2023-08-27 08:35:13.032813
event_10_3,case_10,Dispatch Order,2023-09-03 20:47:53.087366
event_10_6,case_10,Evaluate Supplier Performance,2023-10-24 05:07:23.781805
event_10_4,case_10,Monitor Order Status,2023-11-10 04:25:37.731933
event_10_2,case_10,Negotiate Contract,2023-11-23 09:45:30.472720
event_100_3,case_100,Approve Purchase Order,2023-01-08 20:39:37.526942
event_100_2,case_100,Negotiate Contract,2023-02-10 16:15:12.390992
event_100_4,case_100,Monitor Order Status,2023-03-03 04:31:03.647422
event_100_4,case_100,Monitor Order Status,2023-04-01 04:50:04.414004
event_100_0,case_100,Close Purchase Order,2023-04-23 09:53:47.059656
event_100_7,case_100,Renew Contract,2023-09-02 22:03:26.341685
event_100_4,case_100,Receive Goods,2023-10-13 01:04:26.944482
event_100_1,case_100,Create Purchase Order,2023-11-01 00:28:49.193952
event_100_5,case_100,Complete Payment,2023-11-08 15:17:02.838927
event_100_6,case_100,Evaluate Supplier Performance,2023-11-12 19:38:52.337249
event_101_4,case_101,Receive Goods,2023-02-21 19:52:40.333208
event_101_7,case_101,Renew Contract,2023-07-16 07:32:24.753222
event_101_5,case_101,Process Invoice,2023-08-12 11:45:17.916946
event_101_6,case_101,Evaluate Supplier Performance,2023-08-31 00:36:53.707673
event_101_3,case_101,Dispatch Order,2023-09-15 17:02:37.322590
event_101_1,case_101,Create Purchase Order,2023-10-27 12:22:03.598147
event_101_2,case_101,Request Quotations,2023-11-01 02:10:02.255646
event_101_0,case_101,Close Purchase Order,2023-11-22 07:03:37.968538
event_102_1,case_102,Create Purchase Order,2023-01-26 16:39:41.008629
event_102_7,case_102,Renew Contract,2023-02-12 04:07:58.831315
event_102_0,case_102,Close Purchase Order,2023-03-04 09:01:26.921366
event_102_5,case_102,Complete Payment,2023-03-31 05:12:14.063505
event_102_3,case_102,Dispatch Order,2023-04-14 03:21:11.208695
event_102_2,case_102,Request Quotations,2023-05-24 14:56:53.424762
event_102_4,case_102,Receive Goods,2023-10-04 16:02:01.545113
event_102_6,case_102,Finalize Purchase Details,2023-10-26 12:55:06.793288
event_103_3,case_103,Approve Purchase Order,2023-01-27 12:45:02.612327
event_103_1,case_103,Create Purchase Order,2023-02-02 00:06:35.487547
event_103_6,case_103,Finalize Purchase Details,2023-03-08 18:53:34.324728
event_103_5,case_103,Complete Payment,2023-06-30 19:24:29.385046
event_103_2,case_103,Request Quotations,2023-07-24 17:31:34.815496
event_103_7,case_103,Conduct Market Analysis,2023-09-03 01:18:19.107496
event_103_0,case_103,Close Purchase Order,2023-10-24 15:05:34.225001
event_103_6,case_103,Evaluate Supplier Performance,2023-10-27 13:46:14.892721
event_103_4,case_103,Monitor Order Status,2023-11-18 07:03:02.463808
event_104_6,case_104,Evaluate Supplier Performance,2023-01-16 20:16:09.133523
