Event ID,Case ID,Activity,Timestamp
event_0_7,case_0,Archive Documentation,2023-01-15 04:57:35.774189
event_0_3,case_0,Reconcile Accounts,2023-02-20 15:08:05.144068
event_0_2,case_0,Validate Invoice,2023-04-25 16:43:15.096036
event_0_1,case_0,Receive Invoice,2023-04-28 11:39:19.738896
event_0_8,case_0,Generate Financial Reports,2023-08-22 22:44:46.368044
event_0_0,case_0,Close Accounts Payable Process,2023-09-01 15:54:12.659279
event_0_4,case_0,Process Vendor Queries,2023-11-18 03:56:00.035962
event_0_6,case_0,Authorize Expenditure,2023-11-28 16:44:24.725054
event_0_5,case_0,Maintain Vendor Accounts,2023-11-30 02:48:26.455710
event_1_8,case_1,Generate Financial Reports,2023-03-05 17:33:47.722533
event_1_5,case_1,Update Ledger,2023-04-12 03:44:08.887022
event_1_2,case_1,Approve Payment,2023-04-20 14:44:20.912035
event_1_6,case_1,Resolve Discrepancies,2023-05-04 16:17:50.292269
event_1_1,case_1,Receive Invoice,2023-06-02 19:33:41.978729
event_1_0,case_1,Close Accounts Payable Process,2023-07-06 08:17:38.184926
event_1_7,case_1,Archive Documentation,2023-07-07 19:24:11.340009
event_1_3,case_1,Execute Payment,2023-10-16 05:04:09.845647
event_1_4,case_1,Verify Transaction Compliance,2023-11-29 20:02:44.187402
event_10_5,case_10,Update Ledger,2023-02-04 02:37:40.411870
event_10_2,case_10,Approve Payment,2023-03-02 08:31:24.653147
event_10_3,case_10,Reconcile Accounts,2023-04-12 18:44:48.949308
event_10_1,case_10,Receive Invoice,2023-06-10 14:56:00.233769
event_10_4,case_10,Process Vendor Queries,2023-06-15 08:13:04.305233
event_10_6,case_10,Authorize Expenditure,2023-09-20 13:47:59.716317
event_10_8,case_10,Conduct Periodic Reviews,2023-10-30 02:10:45.699745
event_10_0,case_10,Close Accounts Payable Process,2023-11-09 09:47:23.183186
event_10_6,case_10,Resolve Discrepancies,2023-11-11 17:26:32.830811
event_10_7,case_10,Perform Audit Trails,2023-11-14 10:06:28.280209
event_100_0,case_100,Close Accounts Payable Process,2023-03-05 12:32:53.985798
event_100_2,case_100,Approve Payment,2023-04-25 01:23:54.798578
event_100_4,case_100,Verify Transaction Compliance,2023-05-04 21:24:52.469784
event_100_6,case_100,Resolve Discrepancies,2023-07-13 13:05:56.766547
event_100_8,case_100,Conduct Periodic Reviews,2023-07-16 10:03:46.542515
event_100_5,case_100,Maintain Vendor Accounts,2023-07-26 09:42:43.632573
event_100_3,case_100,Execute Payment,2023-09-10 23:54:23.238075
event_100_7,case_100,Perform Audit Trails,2023-10-20 22:30:45.878606
event_100_1,case_100,Receive Invoice,2023-11-17 01:10:21.279615
event_101_2,case_101,Validate Invoice,2023-03-13 03:38:04.000027
event_101_3,case_101,Reconcile Accounts,2023-03-17 01:46:59.074679
event_101_0,case_101,Close Accounts Payable Process,2023-05-17 15:59:06.882339
event_101_8,case_101,Generate Financial Reports,2023-06-21 10:54:03.136136
event_101_1,case_101,Receive Invoice,2023-07-16 23:24:01.486495
event_101_6,case_101,Resolve Discrepancies,2023-08-11 18:21:34.884088
event_101_4,case_101,Process Vendor Queries,2023-08-13 22:18:50.330869
event_101_5,case_101,Update Ledger,2023-10-05 04:05:47.845572
event_101_7,case_101,Archive Documentation,2023-11-29 18:26:10.239341
event_102_1,case_102,Receive Invoice,2023-03-23 08:18:42.506587
event_102_3,case_102,Execute Payment,2023-05-06 13:56:36.706672
event_102_5,case_102,Update Ledger,2023-06-06 05:07:09.567193
event_102_0,case_102,Close Accounts Payable Process,2023-06-20 18:15:42.504452
event_102_2,case_102,Validate Invoice,2023-07-29 16:26:34.317487
event_102_4,case_102,Process Vendor Queries,2023-09-03 19:37:46.386330
event_102_7,case_102,Archive Documentation,2023-10-15 16:03:59.241012
event_102_6,case_102,Authorize Expenditure,2023-10-22 13:07:17.194400
event_102_8,case_102,Conduct Periodic Reviews,2023-10-25 23:14:59.518262
event_103_4,case_103,Process Vendor Queries,2023-01-03 08:51:12.177224
