Event ID,Case ID,Activity,Timestamp
event_0_8,case_0,Gather Customer Feedback,2023-02-28 06:51:30.336904
event_0_3,case_0,Allocate Inventory,2023-04-28 21:45:26.221040
event_0_6,case_0,Deliver Item,2023-05-15 02:30:49.314662
event_0_2,case_0,Confirm Order Details,2023-05-15 05:11:09.122460
event_0_0,case_0,Close Order Management Process,2023-08-14 15:12:59.759882
event_0_2,case_0,Validate Order,2023-08-15 22:53:22.681884
event_0_4,case_0,Perform Quality Checks,2023-10-06 01:36:44.210348
event_0_5,case_0,Dispatch Item,2023-10-30 04:25:57.327661
event_0_7,case_0,Handle Returns,2023-11-27 09:20:48.520969
event_0_1,case_0,Receive Order,2023-12-01 03:28:01.513377
event_1_5,case_1,Update Order Status,2023-01-24 16:18:12.331822
event_1_8,case_1,Manage Customer Communication,2023-02-23 22:20:19.292162
event_1_4,case_1,Perform Quality Checks,2023-03-10 11:02:32.769871
event_1_3,case_1,Allocate Inventory,2023-04-08 17:49:29.853885
event_1_1,case_1,Receive Order,2023-04-24 18:31:10.841448
event_1_2,case_1,Validate Order,2023-07-16 22:22:32.861417
event_1_6,case_1,Monitor Delivery Progress,2023-09-17 07:41:12.375216
event_1_7,case_1,Handle Returns,2023-09-20 00:17:34.212457
event_1_0,case_1,Close Order Management Process,2023-10-21 10:47:36.398420
event_10_6,case_10,Deliver Item,2023-01-28 11:15:58.116884
event_10_0,case_10,Close Order Management Process,2023-02-27 05:12:28.580551
event_10_1,case_10,Receive Order,2023-03-21 20:56:55.084182
event_10_5,case_10,Dispatch Item,2023-05-11 05:14:20.508569
event_10_3,case_10,Allocate Inventory,2023-06-08 17:32:33.339121
event_10_7,case_10,Process Refunds,2023-06-10 16:53:21.792223
event_10_8,case_10,Manage Customer Communication,2023-07-08 10:48:51.535240
event_10_2,case_10,Confirm Order Details,2023-09-15 11:46:29.981077
event_10_4,case_10,Organize Shipping,2023-09-19 16:46:42.053582
event_100_5,case_100,Dispatch Item,2023-01-21 16:07:55.066607
event_100_6,case_100,Deliver Item,2023-02-13 19:13:40.959546
event_100_2,case_100,Confirm Order Details,2023-02-25 18:22:17.846333
event_100_7,case_100,Handle Returns,2023-03-20 03:40:24.170669
event_100_0,case_100,Close Order Management Process,2023-05-26 17:17:59.247107
event_100_4,case_100,Organize Shipping,2023-06-03 16:26:32.931168
event_100_3,case_100,Prepare Item,2023-06-11 01:05:59.817899
event_100_3,case_100,Allocate Inventory,2023-06-15 08:34:28.076740
event_100_1,case_100,Receive Order,2023-07-22 10:53:02.532702
event_100_8,case_100,Gather Customer Feedback,2023-11-05 23:29:17.019987
event_101_2,case_101,Confirm Order Details,2023-01-21 13:07:25.384101
event_101_7,case_101,Receive Payment,2023-02-23 15:42:56.117973
event_101_4,case_101,Perform Quality Checks,2023-05-20 01:21:46.144417
event_101_2,case_101,Validate Order,2023-06-17 06:46:04.695379
event_101_0,case_101,Close Order Management Process,2023-07-11 17:58:31.879972
event_101_1,case_101,Receive Order,2023-07-23 00:57:30.565581
event_101_3,case_101,Schedule Production,2023-08-09 02:38:05.898901
event_101_5,case_101,Update Order Status,2023-09-10 02:07:15.916770
event_101_6,case_101,Monitor Delivery Progress,2023-11-29 08:57:14.973985
event_101_8,case_101,Gather Customer Feedback,2023-12-02 17:46:36.692721
event_102_8,case_102,Gather Customer Feedback,2023-01-04 13:01:43.609719
event_102_0,case_102,Close Order Management Process,2023-01-07 01:47:37.631418
event_102_1,case_102,Receive Order,2023-01-27 23:58:33.936052
event_102_2,case_102,Confirm Order Details,2023-01-29 21:12:27.768946
event_102_5,case_102,Update Order Status,2023-03-22 21:35:17.982506
event_102_6,case_102,Deliver Item,2023-04-23 12:11:17.896686
event_102_4,case_102,Perform Quality Checks,2023-06-03 03:45:32.776464
event_102_6,case_102,Monitor Delivery Progress,2023-08-24 09:40:53.482688
