Event ID,Case ID,Activity,Timestamp
event_0_6,case_0,Evaluate Supplier Performance,2023-04-05 10:56:07.126868
event_0_5,case_0,Process Invoice,2023-05-18 21:33:46.616438
event_0_1,case_0,Create Purchase Order,2023-07-05 17:33:32.221982
event_0_2,case_0,Request Quotations,2023-07-07 12:38:41.556710
event_0_7,case_0,Conduct Market Analysis,2023-08-12 16:21:36.830113
event_0_3,case_0,Approve Purchase Order,2023-08-14 03:15:11.810223
event_0_4,case_0,Receive Goods,2023-08-18 08:58:47.707390
event_0_4,case_0,Monitor Order Status,2023-08-26 00:39:59.567101
event_0_2,case_0,Negotiate Contract,2023-09-28 02:37:18.352356
event_0_0,case_0,Close Purchase Order,2023-11-03 12:55:44.141961
event_1_3,case_1,Dispatch Order,2023-01-12 08:32:39.526052
event_1_4,case_1,Monitor Order Status,2023-02-03 02:45:45.447610
event_1_3,case_1,Dispatch Order,2023-03-11 06:35:46.519865
event_1_5,case_1,Complete Payment,2023-05-14 03:10:02.206093
event_1_0,case_1,Close Purchase Order,2023-06-03 02:35:09.862699
event_1_2,case_1,Negotiate Contract,2023-06-30 15:21:18.035103
event_1_6,case_1,Finalize Purchase Details,2023-08-11 06:01:30.710697
event_1_3,case_1,Approve Purchase Order,2023-09-21 12:12:57.905231
event_1_7,case_1,Renew Contract,2023-11-12 18:56:09.738204
event_1_1,case_1,Create Purchase Order,2023-11-18 16:36:16.418619
event_10_0,case_10,Close Purchase Order,2023-03-24 21:42:43.280602
event_10_2,case_10,Negotiate Contract,2023-04-04 03:08:17.145654
event_10_5,case_10,Complete Payment,2023-04-20 13:02:34.350121
event_10_3,case_10,Dispatch Order,2023-07-28 10:16:25.585247
event_10_7,case_10,Renew Contract,2023-07-31 23:25:25.326700
event_10_6,case_10,Finalize Purchase Details,2023-08-19 01:18:42.218656
event_10_1,case_10,Create Purchase Order,2023-11-28 02:09:00.899406
event_10_4,case_10,Receive Goods,2023-12-03 23:59:28.188468
event_100_5,case_100,Complete Payment,2023-01-09 05:03:33.847665
event_100_2,case_100,Request Quotations,2023-01-13 04:40:50.099481
event_100_4,case_100,Receive Goods,2023-02-08 22:28:29.130831
event_100_7,case_100,Renew Contract,2023-03-06 08:19:29.551530
event_100_1,case_100,Create Purchase Order,2023-05-19 09:38:37.560793
event_100_3,case_100,Approve Purchase Order,2023-06-06 07:52:22.641871
event_100_4,case_100,Monitor Order Status,2023-07-09 21:13:37.243115
event_100_0,case_100,Close Purchase Order,2023-07-14 09:54:29.183725
event_100_6,case_100,Evaluate Supplier Performance,2023-11-05 11:04:27.638762
event_101_0,case_101,Close Purchase Order,2023-01-07 23:31:01.323915
event_101_1,case_101,Create Purchase Order,2023-01-27 16:01:14.180659
event_101_2,case_101,Dispatch Order,2023-03-31 04:57:17.531207
event_101_6,case_101,Evaluate Supplier Performance,2023-04-02 01:19:50.534621
event_101_3,case_101,Approve Purchase Order,2023-04-03 09:01:28.237289
