Event ID,Case ID,Activity,Timestamp
event_0_1,case_0,Receive Order,2023-02-03 12:57:15.221684
event_0_7,case_0,Receive Payment,2023-03-06 23:59:24.597496
event_0_8,case_0,Gather Customer Feedback,2023-04-09 21:19:34.979158
event_0_3,case_0,Prepare Item,2023-05-01 14:21:33.107393
event_0_4,case_0,Organize Shipping,2023-07-22 06:08:38.809610
event_0_5,case_0,Update Order Status,2023-08-24 06:27:17.129104
event_0_6,case_0,Monitor Delivery Progress,2023-10-31 13:03:45.769097
event_0_4,case_0,Perform Quality Checks,2023-11-03 03:06:14.446353
event_0_2,case_0,Validate Order,2023-12-06 22:43:05.391535
event_1_1,case_1,Receive Order,2023-01-06 09:11:31.979665
event_1_3,case_1,Schedule Production,2023-04-11 16:09:05.777659
event_1_5,case_1,Update Order Status,2023-04-17 21:05:54.799383
event_1_6,case_1,Deliver Item,2023-04-24 12:32:42.965975
event_1_8,case_1,Manage Customer Communication,2023-04-29 20:29:30.066828
event_1_4,case_1,Organize Shipping,2023-04-30 11:14:35.301791
event_1_2,case_1,Validate Order,2023-08-13 01:42:41.652337
event_1_7,case_1,Handle Returns,2023-12-01 08:37:02.200393
event_10_8,case_10,Manage Customer Communication,2023-01-18 05:41:28.053642
event_10_3,case_10,Allocate Inventory,2023-02-18 19:52:26.306917
event_10_2,case_10,Confirm Order Details,2023-03-05 18:31:11.233341
event_10_1,case_10,Receive Order,2023-04-12 23:51:16.566579
event_10_5,case_10,Update Order Status,2023-05-08 22:30:47.721447
event_10_6,case_10,Monitor Delivery Progress,2023-06-04 09:01:34.543935
event_10_7,case_10,Handle Returns,2023-06-10 03:42:53.884776
event_10_4,case_10,Perform Quality Checks,2023-11-10 08:13:06.885208
event_100_6,case_100,Deliver Item,2023-06-11 21:16:06.263602
event_100_2,case_100,Confirm Order Details,2023-06-12 18:50:45.831632
event_100_4,case_100,Organize Shipping,2023-07-11 16:30:36.640116
event_100_3,case_100,Allocate Inventory,2023-07-15 07:52:05.789362
event_100_1,case_100,Receive Order,2023-08-06 17:56:34.341560
event_100_7,case_100,Process Refunds,2023-10-17 12:25:00.304893
event_100_5,case_100,Dispatch Item,2023-11-06 01:26:05.181597
event_100_8,case_100,Gather Customer Feedback,2023-11-21 04:53:53.050599
event_100_6,case_100,Monitor Delivery Progress,2023-11-26 09:05:36.942901
event_101_4,case_101,Perform Quality Checks,2023-03-01 21:02:50.531908
event_101_5,case_101,Update Order Status,2023-03-27 12:13:06.064368
event_101_8,case_101,Gather Customer Feedback,2023-04-02 18:30:30.704027
event_101_6,case_101,Deliver Item,2023-04-17 15:54:55.671544
event_101_2,case_101,Validate Order,2023-05-24 11:16:52.086822
event_101_7,case_101,Process Refunds,2023-08-07 21:24:24.639946
event_101_3,case_101,Organize Shipping,2023-08-09 22:58:45.891857
event_101_1,case_101,Receive Order,2023-08-20 14:46:59.686140
event_101_4,case_101,Organize Shipping,2023-09-09 20:44:19.055969
event_101_3,case_101,Prepare Item,2023-09-20 22:00:18.351240
event_102_3,case_102,Allocate Inventory,2023-01-14 11:29:15.495033
event_102_8,case_102,Gather Customer Feedback,2023-01-28 09:48:31.085360
event_102_6,case_102,Monitor Delivery Progress,2023-06-24 18:17:47.155356
event_102_4,case_102,Organize Shipping,2023-08-08 02:03:33.403372
event_102_2,case_102,Confirm Order Details,2023-08-17 05:40:06.603422
event_102_7,case_102,Process Refunds,2023-09-07 01:56:17.647111
event_102_5,case_102,Dispatch Item,2023-09-24 20:31:27.575081
event_102_1,case_102,Receive Order,2023-11-30 19:44:14.564885
event_103_2,case_103,Confirm Order Details,2023-01-27 05:56:55.950217
event_103_6,case_103,Deliver Item,2023-02-01 05:31:16.283589
event_103_8,case_103,Manage Customer Communication,2023-03-04 06:42:23.808686
event_103_1,case_103,Receive Order,2023-03-12 18:56:26.502126
event_103_5,case_103,Update Order Status,2023-04-14 17:24:45.785391
event_103_4,case_103,Organize Shipping,2023-04-30 22:14:00.627123
event_103_3,case_103,Allocate Inventory,2023-05-26 06:48:07.185584
event_103_5,case_103,Dispatch Item,2023-09-16 10:10:52.251523
event_103_6,case_103,Deliver Item,2023-09-17 02:08:14.578357
event_103_5,case_103,Update Order Status,2023-10-07 03:53:19.270933
event_103_7,case_103,Handle Returns,2023-11-10 03:57:11.828657
event_104_5,case_104,Dispatch Item,2023-02-14 17:47:49.794794
event_104_4,case_104,Organize Shipping,2023-04-06 19:41:01.602857
event_104_2,case_104,Confirm Order Details,2023-04-24 12:45:52.555270
event_104_1,case_104,Receive Order,2023-05-04 05:55:27.070857
event_104_6,case_104,Monitor Delivery Progress,2023-05-28 01:08:03.911561
event_104_8,case_104,Gather Customer Feedback,2023-07-23 03:55:40.935594
event_104_7,case_104,Handle Returns,2023-11-29 23:43:08.426707
event_104_3,case_104,Prepare Item,2023-12-09 08:46:28.305062
event_105_6,case_105,Monitor Delivery Progress,2023-01-23 16:33:30.157435
event_105_4,case_105,Organize Shipping,2023-03-07 07:41:37.707232
event_105_6,case_105,Monitor Delivery Progress,2023-03-09 17:46:43.513736
event_105_8,case_105,Manage Customer Communication,2023-03-16 21:06:15.499230
event_105_5,case_105,Update Order Status,2023-04-17 17:12:23.377138
event_105_3,case_105,Allocate Inventory,2023-05-13 00:07:14.756270
event_105_1,case_105,Receive Order,2023-06-16 02:31:44.498326
event_105_7,case_105,Receive Payment,2023-08-31 08:50:58.640580
event_105_5,case_105,Update Order Status,2023-10-16 13:03:07.944043
event_105_2,case_105,Confirm Order Details,2023-11-19 18:07:17.876075
event_106_3,case_106,Allocate Inventory,2023-01-14 11:37:37.844287
event_106_5,case_106,Update Order Status,2023-01-19 13:20:47.197626
event_106_2,case_106,Confirm Order Details,2023-03-04 06:25:18.374976
event_106_6,case_106,Monitor Delivery Progress,2023-04-17 15:41:11.906460
event_106_3,case_106,Schedule Production,2023-05-11 10:48:10.660563
event_106_8,case_106,Gather Customer Feedback,2023-05-12 01:07:26.084716
event_106_4,case_106,Perform Quality Checks,2023-05-20 12:35:45.767722
event_106_7,case_106,Receive Payment,2023-09-03 07:37:06.919540
event_106_4,case_106,Organize Shipping,2023-10-20 04:59:04.022823
event_106_1,case_106,Receive Order,2023-12-05 08:59:40.709697
event_107_8,case_107,Gather Customer Feedback,2023-01-26 07:45:50.397334
event_107_3,case_107,Allocate Inventory,2023-02-11 20:14:42.610509
event_107_2,case_107,Confirm Order Details,2023-03-16 17:27:19.009002
event_107_4,case_107,Organize Shipping,2023-04-11 04:39:35.921369
event_107_3,case_107,Prepare Item,2023-05-24 08:42:46.131450
event_107_6,case_107,Deliver Item,2023-07-03 07:55:53.664655
event_107_5,case_107,Dispatch Item,2023-07-21 14:48:41.131826
event_107_5,case_107,Update Order Status,2023-08-22 08:00:52.713834
event_107_5,case_107,Dispatch Item,2023-08-25 21:41:53.404985
event_107_7,case_107,Process Refunds,2023-08-29 14:11:05.783028
event_107_1,case_107,Receive Order,2023-09-24 11:52:38.202087
event_108_1,case_108,Receive Order,2023-01-14 07:41:28.897566
event_108_5,case_108,Dispatch Item,2023-04-25 10:49:33.115726
event_108_3,case_108,Allocate Inventory,2023-05-03 10:07:55.909997
event_108_2,case_108,Validate Order,2023-08-09 01:27:27.751858
event_108_6,case_108,Monitor Delivery Progress,2023-09-10 00:21:06.899582
event_108_4,case_108,Organize Shipping,2023-09-19 08:49:36.845255
event_108_8,case_108,Gather Customer Feedback,2023-11-04 10:39:24.193518
event_108_7,case_108,Receive Payment,2023-11-04 22:53:12.777403
event_109_6,case_109,Deliver Item,2023-04-05 16:20:59.135114
event_109_5,case_109,Dispatch Item,2023-04-29 02:39:30.511161
event_109_4,case_109,Perform Quality Checks,2023-05-18 01:02:26.316095
event_109_7,case_109,Process Refunds,2023-07-16 01:26:16.403374
event_109_2,case_109,Validate Order,2023-08-11 22:10:21.558304
event_109_8,case_109,Manage Customer Communication,2023-10-28 13:25:36.834167
event_109_1,case_109,Receive Order,2023-11-02 20:51:54.707555
event_109_3,case_109,Schedule Production,2023-11-04 17:43:13.102318
event_11_4,case_11,Perform Quality Checks,2023-02-03 16:57:12.815903
event_11_2,case_11,Validate Order,2023-02-03 20:21:01.697720
event_11_7,case_11,Process Refunds,2023-04-04 06:42:55.192062
event_11_1,case_11,Receive Order,2023-05-08 00:26:22.753969
event_11_4,case_11,Organize Shipping,2023-08-13 02:20:53.855753
event_11_8,case_11,Manage Customer Communication,2023-08-28 05:51:39.319825
event_11_6,case_11,Deliver Item,2023-09-20 06:31:13.971600
event_11_6,case_11,Monitor Delivery Progress,2023-09-21 23:19:52.960977
event_11_5,case_11,Update Order Status,2023-11-02 19:42:02.665042
event_11_3,case_11,Allocate Inventory,2023-11-27 06:11:17.762121
event_110_4,case_110,Organize Shipping,2023-01-03 03:14:20.501536
event_110_4,case_110,Perform Quality Checks,2023-01-24 15:42:36.498367
event_110_2,case_110,Validate Order,2023-02-24 09:45:59.540282
event_110_5,case_110,Dispatch Item,2023-03-03 10:27:21.722478
event_110_3,case_110,Allocate Inventory,2023-03-04 15:38:04.291780
event_110_7,case_110,Process Refunds,2023-03-13 20:36:26.441332
event_110_8,case_110,Gather Customer Feedback,2023-03-25 23:14:18.542934
event_110_6,case_110,Deliver Item,2023-06-02 21:28:19.512889
event_110_1,case_110,Receive Order,2023-07-31 21:40:39.634009
event_111_8,case_111,Gather Customer Feedback,2023-01-02 06:40:35.601651
event_111_1,case_111,Receive Order,2023-01-16 03:42:34.132630
event_111_3,case_111,Schedule Production,2023-01-17 21:50:41.768427
event_111_4,case_111,Organize Shipping,2023-01-24 21:02:20.506753
event_111_2,case_111,Confirm Order Details,2023-02-15 07:00:43.449440
event_111_7,case_111,Process Refunds,2023-03-03 04:49:44.587184
event_111_5,case_111,Dispatch Item,2023-09-24 10:16:35.811249
event_111_6,case_111,Deliver Item,2023-10-24 03:20:25.982644
event_112_6,case_112,Monitor Delivery Progress,2023-02-17 19:03:25.717492
