Event ID,Case ID,Activity,Timestamp
event_0_1,case_0,Create Purchase Order,2023-01-24 06:43:58.329294
event_0_5,case_0,Complete Payment,2023-03-17 09:52:04.214136
event_0_7,case_0,Renew Contract,2023-03-24 14:37:41.632112
event_0_2,case_0,Select Supplier,2023-07-17 16:52:24.432795
event_0_6,case_0,Evaluate Supplier Performance,2023-09-02 18:27:17.678819
event_0_4,case_0,Receive Goods,2023-11-17 22:36:59.404602
event_0_3,case_0,Approve Purchase Order,2023-11-21 12:04:37.000314
event_1_4,case_1,Monitor Order Status,2023-02-28 00:42:45.723900
event_1_1,case_1,Create Purchase Order,2023-03-08 06:38:20.084331
event_1_2,case_1,Request Quotations,2023-04-07 05:20:22.635190
event_1_6,case_1,Finalize Purchase Details,2023-05-01 00:00:31.313652
event_1_7,case_1,Renew Contract,2023-06-24 04:08:41.370064
event_1_5,case_1,Process Invoice,2023-08-02 15:48:04.458374
event_1_3,case_1,Approve Purchase Order,2023-12-02 16:43:58.895755
event_10_7,case_10,Renew Contract,2023-02-03 22:20:20.591993
event_10_5,case_10,Complete Payment,2023-02-25 05:08:34.358340
event_10_3,case_10,Approve Purchase Order,2023-03-27 16:50:50.290128
event_10_6,case_10,Finalize Purchase Details,2023-04-14 07:14:09.242357
event_10_4,case_10,Receive Goods,2023-06-11 22:59:58.036434
event_10_1,case_10,Create Purchase Order,2023-10-16 10:47:40.913385
event_10_2,case_10,Select Supplier,2023-12-02 09:10:47.699846
event_100_6,case_100,Evaluate Supplier Performance,2023-03-06 12:16:15.763819
event_100_4,case_100,Receive Goods,2023-03-09 08:39:56.803775
event_100_5,case_100,Finalize Purchase Details,2023-04-07 05:47:54.237281
event_100_5,case_100,Complete Payment,2023-05-10 17:44:14.134995
event_100_2,case_100,Select Supplier,2023-06-09 12:05:03.649681
event_100_2,case_100,Negotiate Contract,2023-07-02 22:42:28.277874
event_100_7,case_100,Renew Contract,2023-08-03 11:47:19.223845
event_100_6,case_100,Finalize Purchase Details,2023-08-04 14:15:44.961536
event_100_3,case_100,Dispatch Order,2023-08-06 14:59:22.481471
event_100_1,case_100,Create Purchase Order,2023-09-09 21:26:54.077171
event_101_6,case_101,Evaluate Supplier Performance,2023-01-25 02:16:26.555946
event_101_7,case_101,Conduct Market Analysis,2023-02-20 16:58:00.257243
event_101_3,case_101,Dispatch Order,2023-04-21 14:30:22.937576
event_101_1,case_101,Create Purchase Order,2023-07-13 01:00:20.709283
event_101_5,case_101,Complete Payment,2023-07-23 09:27:10.508016
event_101_4,case_101,Receive Goods,2023-08-04 22:36:44.154435
event_101_2,case_101,Request Quotations,2023-11-08 19:25:39.104466
event_102_2,case_102,Select Supplier,2023-01-04 02:05:52.774875
event_102_4,case_102,Monitor Order Status,2023-04-23 10:52:50.901245
event_102_7,case_102,Renew Contract,2023-05-03 05:30:21.606410
event_102_3,case_102,Approve Purchase Order,2023-05-14 20:09:29.367873
event_102_5,case_102,Process Invoice,2023-07-17 12:18:11.065091
event_102_5,case_102,Complete Payment,2023-08-18 15:48:51.083565
event_102_1,case_102,Create Purchase Order,2023-10-27 23:15:23.787553
event_102_5,case_102,Process Invoice,2023-12-01 09:58:47.250184
event_102_6,case_102,Evaluate Supplier Performance,2023-12-06 12:50:34.458332
event_103_4,case_103,Receive Goods,2023-02-23 07:51:12.447722
event_103_6,case_103,Finalize Purchase Details,2023-03-14 08:00:28.711899
event_103_7,case_103,Renew Contract,2023-03-23 10:17:07.794003
event_103_1,case_103,Create Purchase Order,2023-04-08 06:38:39.529100
event_103_2,case_103,Negotiate Contract,2023-04-15 11:09:32.217549
event_103_5,case_103,Complete Payment,2023-04-29 19:35:05.645622
event_103_3,case_103,Approve Purchase Order,2023-10-03 01:23:42.593201
event_104_4,case_104,Receive Goods,2023-02-20 08:34:53.328623
event_104_5,case_104,Process Invoice,2023-06-13 17:26:11.572917
event_104_6,case_104,Evaluate Supplier Performance,2023-07-01 18:50:00.974519
event_104_2,case_104,Request Quotations,2023-08-03 21:29:22.914724
event_104_7,case_104,Conduct Market Analysis,2023-10-23 11:54:01.924133
event_104_1,case_104,Create Purchase Order,2023-11-09 09:41:57.714063
event_104_3,case_104,Approve Purchase Order,2023-11-30 13:33:34.487123
event_105_4,case_105,Receive Goods,2023-02-09 19:29:41.242494
event_105_5,case_105,Process Invoice,2023-03-03 20:01:13.432127
event_105_6,case_105,Finalize Purchase Details,2023-03-24 04:43:35.192395
event_105_5,case_105,Complete Payment,2023-03-24 22:13:27.542174
event_105_7,case_105,Renew Contract,2023-04-05 21:19:49.469947
event_105_6,case_105,Evaluate Supplier Performance,2023-06-10 05:15:19.894270
event_105_2,case_105,Select Supplier,2023-06-25 05:36:37.839534
event_105_3,case_105,Approve Purchase Order,2023-06-30 03:14:14.710272
event_105_1,case_105,Create Purchase Order,2023-10-07 12:51:05.058500
event_106_2,case_106,Select Supplier,2023-03-02 23:49:48.433217
event_106_4,case_106,Monitor Order Status,2023-06-05 14:34:17.220792
event_106_6,case_106,Evaluate Supplier Performance,2023-06-09 18:40:50.670494
event_106_3,case_106,Approve Purchase Order,2023-06-28 16:37:15.895193
event_106_1,case_106,Create Purchase Order,2023-09-05 17:27:49.711008
event_106_5,case_106,Process Invoice,2023-10-16 10:09:19.459196
event_106_7,case_106,Conduct Market Analysis,2023-11-29 17:00:05.822212
event_107_4,case_107,Receive Goods,2023-01-22 20:39:03.774590
event_107_2,case_107,Negotiate Contract,2023-04-28 12:05:41.269140
event_107_7,case_107,Renew Contract,2023-05-14 19:44:11.335517
event_107_6,case_107,Evaluate Supplier Performance,2023-07-05 14:44:34.078039
event_107_1,case_107,Create Purchase Order,2023-07-22 02:52:09.091733
event_107_3,case_107,Approve Purchase Order,2023-09-11 09:11:17.942192
event_107_5,case_107,Process Invoice,2023-12-08 01:14:32.425071
event_108_6,case_108,Finalize Purchase Details,2023-03-25 14:51:18.552986
event_108_2,case_108,Request Quotations,2023-05-09 03:59:31.245159
event_108_1,case_108,Create Purchase Order,2023-07-17 05:02:00.501265
event_108_4,case_108,Monitor Order Status,2023-09-08 23:41:45.403981
event_108_4,case_108,Receive Goods,2023-09-30 08:44:30.615673
event_108_7,case_108,Renew Contract,2023-10-11 13:13:18.779991
event_108_3,case_108,Dispatch Order,2023-11-07 11:54:28.472494
event_108_5,case_108,Process Invoice,2023-12-07 22:32:31.518405
event_109_1,case_109,Create Purchase Order,2023-01-24 05:31:12.411839
event_109_3,case_109,Approve Purchase Order,2023-01-26 18:20:55.657290
event_109_6,case_109,Evaluate Supplier Performance,2023-02-25 15:21:33.797962
event_109_2,case_109,Request Quotations,2023-03-07 02:47:42.142456
event_109_5,case_109,Process Invoice,2023-03-23 07:30:09.708542
event_109_4,case_109,Receive Goods,2023-05-08 08:10:10.963847
event_109_7,case_109,Renew Contract,2023-07-11 14:58:39.636220
event_109_5,case_109,Complete Payment,2023-09-08 21:44:43.068575
event_11_5,case_11,Process Invoice,2023-02-04 14:34:41.155396
event_11_3,case_11,Dispatch Order,2023-03-15 20:12:29.460359
event_11_2,case_11,Select Supplier,2023-07-01 18:59:15.170651
event_11_7,case_11,Conduct Market Analysis,2023-08-10 15:36:15.513323
event_11_1,case_11,Create Purchase Order,2023-10-05 18:48:58.503464
event_11_4,case_11,Monitor Order Status,2023-10-14 10:11:45.307223
event_11_6,case_11,Finalize Purchase Details,2023-11-25 16:48:14.965807
event_110_3,case_110,Approve Purchase Order,2023-01-12 12:51:31.515383
event_110_7,case_110,Conduct Market Analysis,2023-03-04 23:31:58.488977
event_110_6,case_110,Finalize Purchase Details,2023-03-27 04:13:12.738781
event_110_4,case_110,Receive Goods,2023-04-27 17:56:56.480444
event_110_2,case_110,Negotiate Contract,2023-06-12 12:44:18.165098
event_110_1,case_110,Create Purchase Order,2023-09-21 04:59:38.468636
event_110_5,case_110,Process Invoice,2023-10-06 02:28:38.127081
event_111_6,case_111,Evaluate Supplier Performance,2023-01-23 04:13:28.209387
event_111_7,case_111,Renew Contract,2023-01-25 07:45:10.354293
event_111_1,case_111,Create Purchase Order,2023-03-13 05:43:58.439754
event_111_5,case_111,Complete Payment,2023-06-11 16:33:06.143507
event_111_3,case_111,Approve Purchase Order,2023-08-10 10:28:11.216419
event_111_4,case_111,Receive Goods,2023-11-19 11:50:53.586835
event_111_2,case_111,Negotiate Contract,2023-12-06 12:18:17.281267
event_112_1,case_112,Create Purchase Order,2023-02-26 04:43:00.110101
event_112_7,case_112,Renew Contract,2023-03-10 18:03:21.673277
event_112_6,case_112,Finalize Purchase Details,2023-04-19 10:04:52.370121
event_112_4,case_112,Monitor Order Status,2023-05-17 22:41:50.667527
event_112_3,case_112,Approve Purchase Order,2023-06-02 22:56:24.284095
event_112_5,case_112,Complete Payment,2023-07-20 08:56:06.968235
event_112_2,case_112,Request Quotations,2023-11-06 02:54:49.800264
event_113_1,case_113,Create Purchase Order,2023-01-08 21:14:42.053284
event_113_5,case_113,Process Invoice,2023-02-20 14:23:00.420820
event_113_6,case_113,Evaluate Supplier Performance,2023-03-13 16:09:26.570984
event_113_4,case_113,Monitor Order Status,2023-04-08 18:15:26.118593
event_113_3,case_113,Dispatch Order,2023-05-31 14:15:49.885231
event_113_2,case_113,Select Supplier,2023-09-15 02:12:40.411715
event_113_7,case_113,Renew Contract,2023-10-22 13:35:32.266883
event_114_5,case_114,Process Invoice,2023-01-09 12:21:41.426800
event_114_7,case_114,Conduct Market Analysis,2023-02-02 01:32:49.244007
event_114_1,case_114,Create Purchase Order,2023-03-17 23:21:12.641220
event_114_6,case_114,Evaluate Supplier Performance,2023-05-12 03:29:37.207525
event_114_2,case_114,Select Supplier,2023-05-23 10:30:14.327041
event_114_4,case_114,Monitor Order Status,2023-08-24 18:20:52.074432
event_114_3,case_114,Approve Purchase Order,2023-11-13 20:34:31.187372
event_115_1,case_115,Create Purchase Order,2023-01-25 23:32:08.023425
event_115_3,case_115,Dispatch Order,2023-02-12 17:04:07.687675
event_115_6,case_115,Evaluate Supplier Performance,2023-02-16 08:59:54.828526
event_115_4,case_115,Receive Goods,2023-04-17 16:41:45.331140
event_115_5,case_115,Process Invoice,2023-06-28 09:55:38.845079
event_115_7,case_115,Renew Contract,2023-07-05 19:26:01.610086
event_115_2,case_115,Select Supplier,2023-11-12 12:05:46.603021
event_116_6,case_116,Evaluate Supplier Performance,2023-01-18 05:41:22.064502
event_116_7,case_116,Conduct Market Analysis,2023-03-08 16:47:41.131512
event_116_2,case_116,Request Quotations,2023-08-09 14:09:00.777313
event_116_5,case_116,Complete Payment,2023-08-16 00:44:09.673274
event_116_4,case_116,Receive Goods,2023-09-13 04:59:35.055479
event_116_3,case_116,Approve Purchase Order,2023-09-25 14:14:29.226238
event_116_1,case_116,Create Purchase Order,2023-11-25 17:58:02.656281
event_117_3,case_117,Approve Purchase Order,2023-04-02 00:09:42.643171
event_117_4,case_117,Monitor Order Status,2023-06-13 16:16:41.825143
event_117_1,case_117,Create Purchase Order,2023-06-27 10:12:44.326290
event_117_5,case_117,Process Invoice,2023-08-04 04:42:01.979280
event_117_6,case_117,Finalize Purchase Details,2023-08-14 19:44:24.564390
event_117_7,case_117,Renew Contract,2023-08-30 14:28:59.944048
event_117_2,case_117,Negotiate Contract,2023-09-09 10:39:32.173935
event_118_3,case_118,Approve Purchase Order,2023-01-14 02:19:49.985388
event_118_5,case_118,Complete Payment,2023-01-20 00:18:03.614200
event_118_7,case_118,Renew Contract,2023-01-23 18:20:58.661912
event_118_2,case_118,Dispatch Order,2023-02-01 03:01:14.518143
event_118_4,case_118,Receive Goods,2023-03-03 20:15:39.740201
event_118_6,case_118,Finalize Purchase Details,2023-04-10 04:29:05.968674
event_118_3,case_118,Dispatch Order,2023-04-19 02:20:05.730201
event_118_4,case_118,Monitor Order Status,2023-09-06 08:17:02.914294
event_118_2,case_118,Negotiate Contract,2023-09-07 15:37:32.077616
event_118_1,case_118,Create Purchase Order,2023-11-29 07:16:46.619604
event_119_3,case_119,Dispatch Order,2023-02-23 02:50:19.447795
event_119_2,case_119,Request Quotations,2023-03-15 09:00:46.463398
event_119_1,case_119,Create Purchase Order,2023-03-28 18:04:48.622665
event_119_4,case_119,Monitor Order Status,2023-04-28 15:27:05.957705
event_119_5,case_119,Complete Payment,2023-08-19 13:30:20.067777
event_119_7,case_119,Conduct Market Analysis,2023-09-13 02:10:38.614990
event_119_6,case_119,Evaluate Supplier Performance,2023-10-04 12:21:24.283680
event_12_1,case_12,Create Purchase Order,2023-01-05 23:20:00.566493
event_12_3,case_12,Dispatch Order,2023-06-25 04:28:43.753077
event_12_4,case_12,Receive Goods,2023-07-01 08:10:27.416425
event_12_5,case_12,Complete Payment,2023-07-29 13:41:25.419939
event_12_6,case_12,Evaluate Supplier Performance,2023-09-25 17:17:28.953423
event_12_2,case_12,Negotiate Contract,2023-10-13 07:31:49.960701
event_12_7,case_12,Renew Contract,2023-11-04 23:41:31.827931
event_120_1,case_120,Create Purchase Order,2023-01-13 22:42:55.856102
event_120_5,case_120,Process Invoice,2023-04-10 13:01:28.990264
event_120_6,case_120,Evaluate Supplier Performance,2023-04-19 22:11:06.495954
event_120_7,case_120,Renew Contract,2023-07-19 18:31:00.346604
event_120_4,case_120,Monitor Order Status,2023-08-05 00:26:28.238593
event_120_2,case_120,Request Quotations,2023-09-09 04:13:45.009426
event_120_3,case_120,Approve Purchase Order,2023-10-17 23:09:15.495491
event_121_7,case_121,Conduct Market Analysis,2023-02-14 10:17:40.246212
event_121_3,case_121,Approve Purchase Order,2023-02-20 19:08:18.539336
event_121_6,case_121,Finalize Purchase Details,2023-03-20 16:05:13.762542
event_121_5,case_121,Complete Payment,2023-05-13 15:44:35.781892
event_121_2,case_121,Select Supplier,2023-09-14 19:22:35.238644
event_121_1,case_121,Create Purchase Order,2023-11-03 23:02:05.138837
event_121_4,case_121,Receive Goods,2023-12-03 01:42:32.043352
event_122_4,case_122,Receive Goods,2023-01-04 01:53:21.181028
event_122_7,case_122,Renew Contract,2023-01-09 17:30:09.707689
event_122_2,case_122,Request Quotations,2023-01-26 23:17:06.796259
event_122_1,case_122,Create Purchase Order,2023-03-25 13:59:22.549962
event_122_3,case_122,Dispatch Order,2023-04-13 17:25:09.713900
event_122_5,case_122,Process Invoice,2023-07-04 08:14:14.220559
event_122_6,case_122,Evaluate Supplier Performance,2023-07-25 23:40:13.373940
event_122_2,case_122,Select Supplier,2023-10-16 07:53:12.444600
event_123_7,case_123,Renew Contract,2023-01-03 21:20:11.307396
event_123_6,case_123,Finalize Purchase Details,2023-01-04 00:16:37.611837
event_123_2,case_123,Negotiate Contract,2023-01-29 19:54:15.367062
event_123_1,case_123,Create Purchase Order,2023-06-23 22:40:13.908797
event_123_3,case_123,Approve Purchase Order,2023-08-05 23:47:23.800420
event_123_4,case_123,Monitor Order Status,2023-10-30 11:42:23.593018
event_123_5,case_123,Complete Payment,2023-12-07 16:37:45.026179
event_124_1,case_124,Create Purchase Order,2023-02-16 14:43:12.242047
event_124_2,case_124,Request Quotations,2023-03-06 22:49:03.909858
event_124_2,case_124,Negotiate Contract,2023-04-16 20:35:12.218403
event_124_6,case_124,Finalize Purchase Details,2023-04-22 12:53:04.481185
event_124_5,case_124,Process Invoice,2023-05-04 12:59:59.485603
event_124_4,case_124,Receive Goods,2023-08-23 23:26:24.025080
event_124_7,case_124,Conduct Market Analysis,2023-11-16 17:18:38.266834
event_124_6,case_124,Evaluate Supplier Performance,2023-11-25 06:43:57.503129
event_124_3,case_124,Dispatch Order,2023-12-07 22:54:05.926910
event_125_3,case_125,Dispatch Order,2023-03-19 06:33:35.479808
event_125_1,case_125,Create Purchase Order,2023-04-06 05:21:23.781491
event_125_4,case_125,Monitor Order Status,2023-04-08 22:38:11.820828
event_125_7,case_125,Renew Contract,2023-08-09 12:13:05.195158
event_125_2,case_125,Request Quotations,2023-11-15 12:31:51.373764
event_125_5,case_125,Process Invoice,2023-11-15 21:49:49.323784
event_125_6,case_125,Evaluate Supplier Performance,2023-11-18 13:21:28.762399
event_126_3,case_126,Dispatch Order,2023-01-06 01:31:29.943299
event_126_4,case_126,Receive Goods,2023-07-15 09:15:10.772805
event_126_2,case_126,Request Quotations,2023-08-08 23:48:07.223856
event_126_1,case_126,Create Purchase Order,2023-09-05 11:19:38.224447
event_126_5,case_126,Process Invoice,2023-09-26 04:51:32.806861
event_126_7,case_126,Renew Contract,2023-10-01 17:20:07.359604
event_126_6,case_126,Evaluate Supplier Performance,2023-11-15 11:47:06.605323
event_127_3,case_127,Dispatch Order,2023-01-11 19:15:28.944571
event_127_2,case_127,Request Quotations,2023-01-27 06:58:57.992624
event_127_4,case_127,Receive Goods,2023-02-01 08:20:54.972610
event_127_3,case_127,Approve Purchase Order,2023-03-04 18:07:55.686493
event_127_6,case_127,Finalize Purchase Details,2023-03-12 15:00:16.061367
event_127_1,case_127,Create Purchase Order,2023-05-01 18:33:47.082407
event_127_7,case_127,Renew Contract,2023-07-21 06:42:56.900845
event_127_2,case_127,Select Supplier,2023-10-27 00:38:16.609822
event_127_5,case_127,Complete Payment,2023-11-23 20:14:45.512594
event_127_3,case_127,Approve Purchase Order,2023-11-25 10:55:41.563944
event_128_3,case_128,Dispatch Order,2023-01-15 03:47:51.691482
event_128_6,case_128,Evaluate Supplier Performance,2023-04-15 12:56:25.260166
event_128_5,case_128,Process Invoice,2023-05-11 11:37:09.682902
event_128_2,case_128,Select Supplier,2023-07-13 13:45:17.653009
event_128_6,case_128,Finalize Purchase Details,2023-08-04 02:36:20.110288
event_128_7,case_128,Renew Contract,2023-11-12 05:31:44.482417
event_128_1,case_128,Create Purchase Order,2023-11-15 17:44:08.999742
event_128_4,case_128,Monitor Order Status,2023-11-18 05:30:40.434398
event_129_7,case_129,Conduct Market Analysis,2023-02-04 07:52:39.423151
event_129_6,case_129,Evaluate Supplier Performance,2023-03-03 15:18:30.442494
event_129_2,case_129,Negotiate Contract,2023-03-18 19:19:32.272865
event_129_3,case_129,Dispatch Order,2023-06-24 04:00:46.616315
event_129_4,case_129,Monitor Order Status,2023-06-29 04:59:19.509427
event_129_1,case_129,Create Purchase Order,2023-07-09 20:55:00.052460
event_129_5,case_129,Complete Payment,2023-09-01 23:47:21.967381
event_13_2,case_13,Negotiate Contract,2023-03-24 01:25:20.144827
event_13_7,case_13,Renew Contract,2023-04-23 20:10:54.252618
event_13_4,case_13,Receive Goods,2023-04-30 18:17:35.533265
event_13_5,case_13,Process Invoice,2023-08-20 02:02:59.456565
event_13_6,case_13,Finalize Purchase Details,2023-09-07 15:23:56.337955
event_13_1,case_13,Create Purchase Order,2023-10-29 22:45:24.675700
event_13_3,case_13,Approve Purchase Order,2023-11-02 15:21:34.408315
event_130_5,case_130,Process Invoice,2023-01-23 08:23:49.829623
event_130_3,case_130,Approve Purchase Order,2023-01-24 09:00:03.439386
event_130_2,case_130,Select Supplier,2023-01-25 20:18:02.189171
event_130_4,case_130,Monitor Order Status,2023-03-18 17:40:19.903924
event_130_7,case_130,Conduct Market Analysis,2023-07-07 10:35:03.327230
event_130_1,case_130,Create Purchase Order,2023-08-03 10:08:05.658147
event_130_6,case_130,Finalize Purchase Details,2023-11-15 11:53:57.930423
event_131_6,case_131,Finalize Purchase Details,2023-01-05 18:17:24.498290
event_131_7,case_131,Renew Contract,2023-02-24 05:16:24.747157
event_131_4,case_131,Receive Goods,2023-03-14 16:47:28.622399
event_131_2,case_131,Negotiate Contract,2023-05-07 08:11:31.741826
event_131_5,case_131,Process Invoice,2023-06-30 10:32:48.415235
event_131_3,case_131,Dispatch Order,2023-09-03 19:31:14.405913
event_131_1,case_131,Create Purchase Order,2023-10-11 18:35:46.590111
event_132_3,case_132,Monitor Order Status,2023-03-01 22:31:44.064162
event_132_1,case_132,Create Purchase Order,2023-03-13 02:47:42.263641
event_132_5,case_132,Process Invoice,2023-04-18 04:42:43.233895
event_132_4,case_132,Monitor Order Status,2023-06-17 18:13:25.392302
event_132_6,case_132,Finalize Purchase Details,2023-06-17 19:53:25.752291
event_132_4,case_132,Receive Goods,2023-07-18 00:28:58.258249
event_132_2,case_132,Request Quotations,2023-07-22 23:10:48.727985
event_132_6,case_132,Evaluate Supplier Performance,2023-07-29 06:55:15.035991
event_132_3,case_132,Dispatch Order,2023-08-31 06:48:49.295022
event_132_3,case_132,Dispatch Order,2023-10-04 18:10:03.954725
event_132_7,case_132,Conduct Market Analysis,2023-10-20 09:49:16.860346
event_133_7,case_133,Conduct Market Analysis,2023-01-23 14:03:22.793239
event_133_5,case_133,Process Invoice,2023-02-17 12:44:56.558234
event_133_1,case_133,Create Purchase Order,2023-02-22 18:27:36.845706
event_133_4,case_133,Receive Goods,2023-06-06 10:42:39.627621
event_133_6,case_133,Finalize Purchase Details,2023-06-13 03:19:22.439243
event_133_2,case_133,Request Quotations,2023-07-20 23:24:36.975799
event_133_3,case_133,Approve Purchase Order,2023-11-24 13:38:25.095059
event_134_6,case_134,Finalize Purchase Details,2023-02-17 18:46:07.422331
event_134_2,case_134,Negotiate Contract,2023-04-09 12:23:40.410936
event_134_7,case_134,Conduct Market Analysis,2023-05-04 22:43:24.365303
event_134_5,case_134,Complete Payment,2023-05-13 19:26:02.079038
event_134_3,case_134,Dispatch Order,2023-05-31 13:18:33.718571
event_134_1,case_134,Create Purchase Order,2023-09-16 13:08:41.286015
event_134_4,case_134,Monitor Order Status,2023-09-23 20:07:43.938113
event_135_4,case_135,Monitor Order Status,2023-01-10 16:23:19.985682
event_135_7,case_135,Conduct Market Analysis,2023-05-29 15:23:31.733657
event_135_1,case_135,Create Purchase Order,2023-06-01 00:35:04.719646
event_135_3,case_135,Approve Purchase Order,2023-08-02 22:18:21.705692
event_135_2,case_135,Request Quotations,2023-08-20 09:57:25.653945
event_135_6,case_135,Finalize Purchase Details,2023-10-26 22:43:52.671056
event_135_5,case_135,Complete Payment,2023-11-09 09:48:46.632466
event_136_6,case_136,Evaluate Supplier Performance,2023-01-26 09:55:51.481819
event_136_4,case_136,Monitor Order Status,2023-02-03 17:54:03.648876
event_136_1,case_136,Create Purchase Order,2023-03-10 22:52:13.580701
event_136_3,case_136,Dispatch Order,2023-05-11 13:58:55.246391
event_136_2,case_136,Request Quotations,2023-07-13 19:33:10.102270
event_136_5,case_136,Process Invoice,2023-09-21 20:35:07.259314
event_136_7,case_136,Conduct Market Analysis,2023-10-16 03:54:04.506114
event_137_7,case_137,Conduct Market Analysis,2023-05-29 20:56:58.147606
event_137_4,case_137,Receive Goods,2023-06-28 22:22:54.884188
event_137_3,case_137,Approve Purchase Order,2023-07-11 16:25:33.534148
event_137_5,case_137,Process Invoice,2023-07-24 00:42:41.864019
event_137_1,case_137,Create Purchase Order,2023-10-26 15:57:27.228655
event_137_6,case_137,Evaluate Supplier Performance,2023-11-10 15:35:45.384662
event_137_2,case_137,Negotiate Contract,2023-11-18 19:09:00.531650
