_CASE_KEY,SORTING,EVENTTIME,ACTIVITY_EN,Automation
1,1,6/15/18 9:37,Order by phone,A
1,2,6/15/18 9:40,Start preparing pizza,A
1,3,6/15/18 9:45,Call Customer,A
1,4,6/15/18 9:46,Start preparing pizza,A
1,5,6/15/18 9:53,Start baking pizza,B
1,6,6/15/18 9:54,Baking pizza ready,A
1,7,6/15/18 9:55,Plan route,B
1,8,6/15/18 9:56,Departure pizza,A
1,9,6/15/18 10:02,Pizza arrives at customer,B
1,10,6/15/18 10:06,Payment customer,A
2,11,5/27/18 4:22,Order by phone,A
2,12,5/27/18 4:25,Start preparing pizza,A
2,13,5/27/18 4:27,Start baking pizza,B
2,14,5/27/18 4:29,Baking pizza ready,A
2,15,5/27/18 4:30,Departure pizza,A
2,16,5/27/18 4:30,Plan route,A
2,17,5/27/18 4:39,Pizza arrives at customer,A
2,18,5/27/18 4:40,Payment customer,A
3,19,5/3/18 18:24,Start order website,A
3,20,5/3/18 18:34,Approve order website,A
3,21,5/3/18 18:35,Receive order website,A
3,22,5/3/18 18:43,Call Customer,A
3,23,5/3/18 18:49,Start preparing pizza,A
3,24,5/3/18 18:50,Start baking pizza,A
3,25,5/3/18 18:51,Baking pizza ready,B
3,26,5/3/18 18:54,Plan route,B
3,27,5/3/18 18:54,Departure pizza,A
3,28,5/3/18 18:56,Pizza arrives at customer,B
3,29,5/3/18 19:02,Payment customer,B
4,30,2/12/18 22:52,Order at the counter (shop),A
4,31,2/12/18 22:53,Start preparing pizza,A
4,32,2/12/18 22:54,Start baking pizza,A
4,33,2/12/18 23:02,Baking pizza ready,B
4,34,2/12/18 23:03,Payment customer,B
5,35,2/6/18 23:08,Start order website,A
5,36,2/6/18 23:16,Approve order website,A
5,37,2/6/18 23:16,Call Customer,B
5,38,2/6/18 23:16,Receive order website,A
5,39,2/6/18 23:17,Start preparing pizza,A
5,40,2/6/18 23:24,Start baking pizza,A
5,41,2/6/18 23:25,Baking pizza ready,B
5,42,2/6/18 23:26,Plan route,A
5,43,2/6/18 23:30,Departure pizza,B
5,44,2/6/18 23:34,Pizza arrives at customer,A
5,45,2/7/18 0:02,Payment customer,A
6,46,2/10/18 16:14,Order at the counter (shop),A
6,47,2/10/18 16:17,Start preparing pizza,A
6,48,2/10/18 16:18,Start baking pizza,B
6,49,2/10/18 16:27,Baking pizza ready,A
6,50,2/10/18 16:28,Payment customer,A
7,51,3/10/18 9:13,Order by phone,A
7,52,3/10/18 9:15,Start preparing pizza,A
7,53,3/10/18 9:15,Call Customer,A
7,54,3/10/18 9:21,Start preparing pizza,A
7,55,3/10/18 9:24,Start baking pizza,A
7,56,3/10/18 9:26,Baking pizza ready,A
7,57,3/10/18 9:26,Plan route,A
7,58,3/10/18 9:30,Departure pizza,A
7,59,3/10/18 9:34,Pizza arrives at customer,A
7,60,3/10/18 10:08,Payment customer,A
8,61,4/24/18 12:13,Order at the counter (shop),A
8,62,4/24/18 12:14,Start preparing pizza,B
8,63,4/24/18 12:18,Start baking pizza,A
8,64,4/24/18 12:20,Payment customer,B
8,65,4/24/18 12:20,Baking pizza ready,B
9,66,7/4/18 23:00,Start order website,A
9,67,7/4/18 23:04,Approve order website,A
9,68,7/4/18 23:05,Receive order website,A
9,69,7/4/18 23:07,Call Customer,A
9,70,7/4/18 23:08,Start baking pizza,B
9,71,7/4/18 23:08,Start preparing pizza,B
9,72,7/4/18 23:10,Plan route,B
9,73,7/4/18 23:10,Baking pizza ready,B
9,74,7/4/18 23:14,Departure pizza,A
9,75,7/4/18 23:18,Pizza arrives at customer,A
9,76,7/4/18 23:48,Payment customer,A
10,77,1/31/18 8:07,Order by phone,A
10,78,1/31/18 8:08,Start preparing pizza,A
10,79,1/31/18 8:12,Start baking pizza,A
10,80,1/31/18 8:19,Baking pizza ready,A
10,81,1/31/18 8:20,Start preparing pizza,B
10,82,1/31/18 8:24,Start baking pizza,A
10,83,1/31/18 8:32,Baking pizza ready,A
10,84,1/31/18 8:39,Plan route,A
10,85,1/31/18 8:42,Departure pizza,A
10,86,1/31/18 8:51,Pizza arrives at customer,A
10,87,1/31/18 8:55,Payment customer,B
11,88,6/17/18 23:36,Order by phone,A
11,89,6/17/18 23:39,Start preparing pizza,A
11,90,6/17/18 23:47,Call Customer,A
11,91,6/17/18 23:52,Start preparing pizza,A
11,92,6/17/18 23:58,Start baking pizza,B
11,93,6/18/18 0:06,Baking pizza ready,A
11,94,6/18/18 0:07,Plan route,B
11,95,6/18/18 0:08,Departure pizza,A
11,96,6/18/18 0:14,Pizza arrives at customer,A
11,97,6/18/18 0:39,Payment customer,B
12,98,4/4/18 16:06,Order at the counter (shop),A
12,99,4/4/18 16:07,Start preparing pizza,A
12,100,4/4/18 16:10,Start baking pizza,B
12,101,4/4/18 16:15,Baking pizza ready,A
12,102,4/4/18 16:16,Payment customer,A
13,103,4/23/18 19:40,Order by phone,A
13,104,4/23/18 19:40,Start preparing pizza,A
13,105,4/23/18 19:46,Start baking pizza,A
13,106,4/23/18 19:49,Baking pizza ready,A
13,107,4/23/18 19:54,Plan route,A
13,108,4/23/18 19:55,Departure pizza,A
13,109,4/23/18 20:04,Pizza arrives at customer,A
13,110,4/23/18 20:13,Payment customer,A
14,111,4/12/18 9:00,Order by phone,A
14,112,4/12/18 9:03,Start preparing pizza,A
14,113,4/12/18 9:07,Start baking pizza,B
14,114,4/12/18 9:20,Baking pizza ready,A
14,115,4/12/18 9:29,Start preparing pizza,A
14,116,4/12/18 9:30,Start baking pizza,A
14,117,4/12/18 9:40,Baking pizza ready,A
14,118,4/12/18 9:46,Plan route,A
14,119,4/12/18 9:50,Departure pizza,A
14,120,4/12/18 9:56,Pizza arrives at customer,A
14,121,4/12/18 10:22,Payment customer,A
16,122,6/12/18 15:38,Order by phone,A
16,123,6/12/18 15:39,Start preparing pizza,A
16,124,6/12/18 15:44,Start baking pizza,A
16,125,6/12/18 15:50,Baking pizza ready,A
16,126,6/12/18 15:51,Plan route,A
16,127,6/12/18 15:53,Departure pizza,A
16,128,6/12/18 16:00,Pizza arrives at customer,A
16,129,6/12/18 16:08,Payment customer,A
17,130,3/1/18 16:25,Order by phone,B
17,131,3/1/18 16:25,Start preparing pizza,A
17,132,3/1/18 16:27,Start baking pizza,A
17,133,3/1/18 16:37,Baking pizza ready,B
17,134,3/1/18 16:40,Plan route,A
17,135,3/1/18 16:44,Departure pizza,B
17,136,3/1/18 16:52,Pizza arrives at customer,A
17,137,3/1/18 17:28,Payment customer,A
18,138,3/26/18 22:42,Order by phone,B
18,139,3/26/18 22:43,Start preparing pizza,A
18,140,3/26/18 22:50,Start baking pizza,A
18,141,3/26/18 23:10,Baking pizza ready,A
18,142,3/26/18 23:17,Start preparing pizza,A
18,143,3/26/18 23:23,Start baking pizza,A
18,144,3/26/18 23:32,Baking pizza ready,A
18,145,3/26/18 23:39,Departure pizza,B
18,146,3/26/18 23:39,Plan route,A
18,147,3/26/18 23:44,Pizza arrives at customer,A
18,148,3/26/18 23:48,Payment customer,A
19,149,3/29/18 1:10,Order by phone,A
19,150,3/29/18 1:13,Start preparing pizza,A
19,151,3/29/18 1:19,Call Customer,A
19,152,3/29/18 1:19,Start preparing pizza,A
19,153,3/29/18 1:21,Start baking pizza,A
