Event ID,Case ID,Activity,Timestamp
event_0_3,case_0,Approve Purchase Order,2023-04-09 12:27:02.313253
event_0_5,case_0,Complete Payment,2023-04-19 18:23:05.886163
event_0_4,case_0,Monitor Order Status,2023-05-27 14:13:56.230391
event_0_1,case_0,Create Purchase Order,2023-06-27 19:01:19.331232
event_0_0,case_0,Close Purchase Order,2023-08-05 02:53:54.932253
event_0_7,case_0,Renew Contract,2023-08-13 22:48:47.221300
event_0_2,case_0,Select Supplier,2023-10-22 04:53:13.736875
event_0_6,case_0,Finalize Purchase Details,2023-11-22 02:34:03.487859
event_1_6,case_1,Finalize Purchase Details,2023-04-08 05:12:16.888271
event_1_0,case_1,Close Purchase Order,2023-04-22 19:39:14.181113
event_1_4,case_1,Monitor Order Status,2023-04-25 13:33:05.137586
event_1_5,case_1,Complete Payment,2023-04-30 02:41:05.367919
event_1_4,case_1,Receive Goods,2023-05-28 16:51:22.656385
event_1_2,case_1,Request Quotations,2023-07-29 16:17:12.936089
event_1_7,case_1,Renew Contract,2023-07-29 23:01:35.577614
event_1_1,case_1,Create Purchase Order,2023-08-16 22:00:25.870315
event_1_3,case_1,Approve Purchase Order,2023-10-03 22:13:20.510272
event_10_1,case_10,Create Purchase Order,2023-04-27 05:14:44.207254
event_10_2,case_10,Negotiate Contract,2023-04-29 09:07:27.587445
event_10_4,case_10,Monitor Order Status,2023-05-10 18:02:29.361132
event_10_0,case_10,Close Purchase Order,2023-07-03 10:11:46.617537
event_10_3,case_10,Approve Purchase Order,2023-08-12 03:07:28.127178
event_10_7,case_10,Renew Contract,2023-08-14 08:54:25.661709
event_10_6,case_10,Finalize Purchase Details,2023-08-18 03:24:12.102937
event_10_5,case_10,Process Invoice,2023-11-26 00:03:27.104156
event_100_0,case_100,Close Purchase Order,2023-03-03 19:49:39.540701
event_100_1,case_100,Create Purchase Order,2023-03-08 18:27:58.698357
event_100_2,case_100,Request Quotations,2023-04-10 06:29:24.246226
event_100_3,case_100,Dispatch Order,2023-05-06 10:32:25.622228
event_100_7,case_100,Renew Contract,2023-06-07 03:25:18.970160
event_100_4,case_100,Monitor Order Status,2023-06-30 07:25:45.386813
event_100_6,case_100,Finalize Purchase Details,2023-07-23 00:56:53.418823
event_100_5,case_100,Process Invoice,2023-10-19 21:13:21.515897
event_101_3,case_101,Approve Purchase Order,2023-01-22 03:12:30.722047
event_101_4,case_101,Monitor Order Status,2023-02-21 07:30:16.817426
event_101_2,case_101,Request Quotations,2023-03-05 12:02:04.916362
event_101_6,case_101,Evaluate Supplier Performance,2023-04-07 10:25:06.158880
event_101_7,case_101,Conduct Market Analysis,2023-06-03 17:15:40.621090
event_101_3,case_101,Dispatch Order,2023-06-27 19:14:28.612795
event_101_5,case_101,Process Invoice,2023-07-01 02:10:01.442073
event_101_1,case_101,Create Purchase Order,2023-07-03 01:13:47.731971
event_101_0,case_101,Close Purchase Order,2023-07-11 10:56:03.287563
event_102_4,case_102,Receive Goods,2023-01-19 08:18:30.459146
event_102_7,case_102,Renew Contract,2023-01-24 08:33:58.928569
event_102_2,case_102,Select Supplier,2023-03-06 10:53:55.574550
event_102_1,case_102,Create Purchase Order,2023-04-08 05:40:14.035168
event_102_3,case_102,Approve Purchase Order,2023-04-29 02:04:31.913628
event_102_0,case_102,Close Purchase Order,2023-05-28 18:48:20.271969
event_102_6,case_102,Evaluate Supplier Performance,2023-06-25 01:15:15.443907
event_102_5,case_102,Complete Payment,2023-11-22 19:40:19.432997
event_103_5,case_103,Process Invoice,2023-01-11 08:32:49.391097
event_103_4,case_103,Receive Goods,2023-02-04 16:31:25.851008
event_103_7,case_103,Conduct Market Analysis,2023-02-20 03:47:25.990775
